127.0.0.1 - - [04/Sep/2019:17:23:17 +0630] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:23:19 +0630] "GET /JSP_Demo/core.jsp HTTP/1.1" 500 3417
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:24:18 +0630] "GET /JSP_Demo/core.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:33:12 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:33:53 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:36:18 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:36:36 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:38:19 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:38:33 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:38:53 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:41:34 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:44:38 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:48:30 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:48:40 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:49:04 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:49:41 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:49:41 +0630] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:49:52 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:49:55 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:51:22 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:51:34 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:51:39 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:51:52 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:51:59 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:52:06 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:53:32 +0630] "GET /JSP_Demo/jstl-core-demo.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:53:45 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:53:54 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:54:06 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 500 2839
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:55:17 +0630] "GET /JSP_Demo/request-demo.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [04/Sep/2019:17:55:26 +0630] "POST /JSP_Demo/data.jsp HTTP/1.1" 200 301
